
Epoch 1, loss 31.43305483339299, train accuracy: 49.56%
Epoch 2, loss 31.188652463979537, train accuracy: 54.89%
Epoch 3, loss 30.884127003300065, train accuracy: 56.67%
Epoch 4, loss 30.546147514034907, train accuracy: 60.22%
Epoch 5, loss 30.80470058665167, train accuracy: 59.33%
Epoch 6, loss 30.45400103527526, train accuracy: 58.22%
Epoch 7, loss 30.450836864952194, train accuracy: 58.67%
Epoch 8, loss 29.922819559328683, train accuracy: 59.56%
Epoch 9, loss 29.971144700743242, train accuracy: 64.67%
Epoch 10, loss 29.510671002274012, train accuracy: 64.89%
Epoch 11, loss 28.85317940293446, train accuracy: 68.67%
Epoch 12, loss 28.143093720285073, train accuracy: 70.00%
Epoch 13, loss 28.480962135984772, train accuracy: 68.44%
Epoch 14, loss 27.603583699124158, train accuracy: 71.33%
Epoch 15, loss 27.120011513061502, train accuracy: 71.11%
Epoch 16, loss 26.38598487450159, train accuracy: 74.67%
Epoch 17, loss 26.24430796594652, train accuracy: 74.00%
Epoch 18, loss 25.266407072115303, train accuracy: 76.67%
Epoch 19, loss 24.28236733702552, train accuracy: 77.11%
Epoch 20, loss 23.77500506487785, train accuracy: 76.89%
Epoch 21, loss 22.95873812560909, train accuracy: 79.78%
Epoch 22, loss 22.76094086025463, train accuracy: 78.22%
Epoch 23, loss 22.506271599421837, train accuracy: 79.11%
Epoch 24, loss 21.857930557932868, train accuracy: 78.67%
Epoch 25, loss 21.89984655610961, train accuracy: 80.22%
Epoch 26, loss 20.661677173045454, train accuracy: 81.78%
Epoch 27, loss 19.09799364097295, train accuracy: 82.89%
Epoch 28, loss 19.63586255113696, train accuracy: 83.33%
Epoch 29, loss 17.85773112345347, train accuracy: 86.22%
Epoch 30, loss 17.7666671477543, train accuracy: 85.56%
Epoch 31, loss 17.370362933602294, train accuracy: 85.56%
Epoch 32, loss 17.355478704708712, train accuracy: 83.33%
Epoch 33, loss 16.732917002957336, train accuracy: 88.44%
Epoch 34, loss 15.619406632481276, train accuracy: 88.22%
Epoch 35, loss 15.70217914821817, train accuracy: 88.22%
Epoch 36, loss 15.24225101095685, train accuracy: 87.11%
Epoch 37, loss 13.85807090289565, train accuracy: 91.33%
Epoch 38, loss 13.874116592005349, train accuracy: 89.78%
Epoch 39, loss 13.895745797449077, train accuracy: 90.00%
Epoch 40, loss 12.904428659772618, train accuracy: 91.11%
Epoch 41, loss 12.660243501241775, train accuracy: 91.11%
Epoch 42, loss 12.19535056643604, train accuracy: 91.78%
Epoch 43, loss 12.09698938675964, train accuracy: 92.00%
Epoch 44, loss 11.283564570094054, train accuracy: 92.44%
Epoch 45, loss 11.701168725039553, train accuracy: 93.11%
Epoch 46, loss 10.6128146155215, train accuracy: 94.44%
Epoch 47, loss 10.595322605069203, train accuracy: 94.00%
Epoch 48, loss 10.444147387978402, train accuracy: 93.78%
Epoch 49, loss 10.253466875336246, train accuracy: 93.78%
Epoch 50, loss 9.241804774830563, train accuracy: 96.22%
Epoch 51, loss 9.514060057926773, train accuracy: 95.11%
Epoch 52, loss 9.305832963771113, train accuracy: 94.22%
Epoch 53, loss 9.177013712989334, train accuracy: 94.67%
Epoch 54, loss 9.17433087557214, train accuracy: 95.11%
Epoch 55, loss 8.038024329698763, train accuracy: 96.44%
Epoch 56, loss 8.09918785625905, train accuracy: 96.89%
Epoch 57, loss 7.6046061815824535, train accuracy: 96.00%
Epoch 58, loss 7.714161445393108, train accuracy: 96.22%
